report_date,weighted_average
2022-08-08,
2022-08-05,
2022-08-04,.00
2022-08-03,353.03
2022-08-02,
2022-08-01,
2022-07-29,.00
2022-07-28,368.75
2022-07-27,
2022-07-26,
2022-07-25,
2022-07-22,.00
2022-07-21,366.49
2022-07-20,
2022-07-19,.00
2022-07-18,
2022-07-15,
2022-07-14,
2022-07-13,367.09
2022-07-12,
2022-07-11,.00
2022-07-08,
2022-07-07,
2022-07-06,
2022-07-05,.00
2022-07-01,
2022-06-30,
2022-06-29,375.40
2022-06-28,
2022-06-27,
2022-06-24,.00
2022-06-23,
2022-06-22,361.62
2022-06-21,
2022-06-20,
2022-06-17,383.74
2022-06-16,
2022-06-15,
2022-06-14,.00
2022-06-13,
2022-06-10,383.82
2022-06-09,
2022-06-08,
2022-06-07,
2022-06-06,
2022-06-03,
2022-06-02,
2022-06-01,366.05
2022-05-31,
2022-05-27,
2022-05-26,386.46
2022-05-25,380.00
2022-05-24,
2022-05-23,389.80
2022-05-20,
2022-05-19,
2022-05-18,
2022-05-17,
2022-05-16,368.75
2022-05-13,
2022-05-12,372.53
2022-05-11,
2022-05-10,
2022-05-09,345.72
2022-05-06,329.54
2022-05-05,
2022-05-04,
2022-05-03,
2022-05-02,
2022-04-29,378.15
2022-04-28,
2022-04-27,372.17
2022-04-26,369.83
2022-04-25,.00
2022-04-22,383.30
2022-04-21,
2022-04-20,
2022-04-19,
2022-04-18,.00
2022-04-15,386.79
2022-04-14,375.00
2022-04-13,
2022-04-12,
2022-04-11,370.82
2022-04-08,
2022-04-07,376.99
2022-04-06,
2022-04-05,
2022-04-04,
2022-04-01,
2022-03-31,
2022-03-30,
2022-03-29,
2022-03-28,355.99
2022-03-25,361.84
2022-03-24,.00
2022-03-23,
2022-03-22,.00
2022-03-21,.00
2022-03-18,
2022-03-17,367.76
2022-03-16,
2022-03-15,.00
2022-03-14,.00
2022-03-11,
2022-03-10,
2022-03-09,342.17
2022-03-08,346.76
2022-03-07,
2022-03-04,320.78
2022-03-03,
2022-03-02,
2022-03-01,368.96
2022-02-28,
2022-02-25,361.72
2022-02-24,
2022-02-23,366.36
2022-02-22,376.93
2022-02-21,
2022-02-18,
2022-02-17,370.14
2022-02-16,
2022-02-15,
2022-02-14,
2022-02-11,425.63
2022-02-10,
2022-02-09,.00
2022-02-08,
2022-02-07,
2022-02-04,
2022-02-03,
2022-02-02,
2022-02-01,
2022-01-31,
2022-01-28,
2022-01-27,
2022-01-26,
2022-01-25,.00
2022-01-24,396.49
2022-01-21,.00
2022-01-20,
2022-01-19,373.10
2022-01-18,.00
2022-01-17,
2022-01-14,
2022-01-13,
2022-01-12,.00
2022-01-11,
2022-01-10,
2022-01-07,
2022-01-06,364.79
2022-01-05,341.61
2022-01-04,.00
2022-01-03,
2021-12-30,.00
2021-12-29,
2021-12-28,
2021-12-27,343.38
2021-12-23,340.00
2021-12-22,321.16
2021-12-21,
2021-12-20,
2021-12-17,.00
2021-12-16,324.58
2021-12-15,315.05
2021-12-14,317.19
2021-12-13,
2021-12-10,318.78
2021-12-09,
2021-12-08,
2021-12-07,
2021-12-06,.00
2021-12-03,
2021-12-02,315.74
2021-12-01,324.11
2021-11-30,312.86
2021-11-29,
2021-11-26,
2021-11-24,319.16
2021-11-23,
2021-11-22,318.93
2021-11-19,
2021-11-18,
2021-11-17,319.92
2021-11-16,.00
2021-11-15,319.56
2021-11-12,334.63
2021-11-11,
2021-11-10,325.20
2021-11-09,322.03
2021-11-08,.00
2021-11-05,
2021-11-04,
2021-11-03,324.87
2021-11-02,
2021-11-01,
2021-10-29,
2021-10-28,329.78
2021-10-27,337.36
2021-10-26,
2021-10-25,334.91
2021-10-22,347.76
2021-10-21,
2021-10-20,
2021-10-19,357.94
2021-10-18,
2021-10-15,
2021-10-14,
2021-10-13,360.57
2021-10-12,
2021-10-11,
2021-10-08,
2021-10-07,375.15
2021-10-06,.00
2021-10-05,383.02
2021-10-04,
2021-10-01,
2021-09-30,
2021-09-29,
2021-09-28,.00
2021-09-27,
2021-09-24,
