report_date,total_pounds_tndrloin,total_pounds_butt_bnls,total_pounds_butt_CC,weighted_average_tndrloin,weighted_average_butt_bnls,weighted_average_butt_CC,total_pounds_tndrloin_scaled,total_pounds_butt_bnls_scaled,total_pounds_butt_CC_scaled,weighted_average_tndrloin_scaled,weighted_average_butt_bnls_scaled,weighted_average_butt_CC_scaled
2023-12-22,53061,21120.0,180175.0,1670.98,399.7,540.84,-0.6072133670058029,0.512157819494667,2.0927056336632854,2.8624470087971874,1.4133088297670482,0.9461314620742449
2023-12-18,157665,5836.0,38055.0,1689.81,347.47,551.9,0.6696708086932918,-0.2673436858850031,-0.050988241962805984,2.9522558560376564,0.36811539612289507,1.1012679518562714
2023-12-06,86888,25672.0,2541.0,1786.72,355.73,556.22,-0.19429262772840167,0.7443150330832732,-0.5866703718458978,3.4144637894457226,0.5334092456710608,1.1618637598000656
2023-11-30,126911,4851.0,77426.0,1751.39,385.29,526.36,0.29426168533806674,-0.31757981404510355,0.5428716762561276,3.2459589263014967,1.124945104344643,0.7430232910033808
2023-11-22,256910,1261.0,14679.0,1716.08,378.47,573.91,1.8811385347578458,-0.5006739258164341,-0.40358455519553543,3.077549452267456,0.9884676159767869,1.409997982606942
2023-11-16,32497,7823.0,25550.0,1718.0,390.32,560.06,-0.8582348020281364,-0.1660044100940188,-0.2396097724631175,3.086706806845348,1.2256022548564192,1.2157267001945478
2023-11-06,7505,20639.0,5835.0,1741.75,394.0,598.52,-1.1633081196744193,0.4876262685860291,-0.5369847003970353,3.1999813751916646,1.2992440667616554,1.7551977125830442
2023-10-19,147836,4097.0,24659.0,1579.44,396.14,548.54,0.5496897892012417,-0.356034677631617,-0.2530493393304328,2.4258510514741625,1.3420683812935046,1.0541378790110982
2023-10-18,68122,6076.0,38016.0,1647.44,381.98,556.74,-0.4233661664187883,-0.2551034110033543,-0.05157650583241911,2.7501740261078274,1.058707496353792,1.1691576996451516
2023-10-11,85554,10731.0,26567.0,1551.05,366.88,547.91,-0.21057655081339452,-0.017693079444707074,-0.22426966078628288,2.2904462095646068,0.7565359311991539,1.0453009903526285
2023-10-06,60030,4191.0,4852.0,1510.46,410.91,578.23,-0.5221439067514436,-0.3512405699696379,-0.5518119666490789,2.096854010441365,1.6376361970109885,1.4705937905507362
2023-10-05,63307,6153.0,12899.0,1477.46,400.17,564.57,-0.48214209569483074,-0.2511763228121586,-0.43043352155223713,1.9394619786338512,1.422714169874511,1.2789876015432782
2023-10-04,39574,1212.0,274176.0,1546.54,388.01,543.16,-0.7718470031731931,-0.5031729819381041,3.5105874800095296,2.26893596521758,1.1793760087963387,0.9786736552292443
2023-09-07,281139,3678.0,17588.0,1444.61,453.1,581.54,2.1768980343277797,-0.3774041575291623,-0.359706103997982,1.7827853651527343,2.4819155568702045,1.5170225230261885
2023-08-24,75744,3221.0,35862.0,1469.83,473.96,604.06,-0.3303256403664529,-0.4007116809496353,-0.08406677186182103,1.9030710330977496,2.8993525667460807,1.8329062255480013
2023-08-18,67462,1048.0,107397.0,1439.05,465.9,642.88,-0.4314226800890247,-0.5115371697738974,0.9949449182093332,1.7562671925209232,2.738060989584069,2.377426888598481
2023-08-15,312396,5385.0,8212.0,1397.44,469.39,581.51,2.5584471976468364,-0.2903452024334349,-0.5011307717285634,1.5578101487781766,2.807900642722459,1.516601718804357
2023-07-06,72991,2643.0,95563.0,1448.98,524.36,565.83,-0.3639310678424539,-0.4301903429562729,0.8164445430041604,1.8036278857284571,3.907925208056925,1.296661378860218
2023-06-26,124745,2493.0,16445.0,1405.14,507.5,616.32,0.2678216722930184,-0.4378405147573034,-0.3769467604843359,1.59453495619993,3.570533645904131,2.0048748842033057
2023-06-15,40697,2506.0,81584.0,1574.39,533.45,619.3,-0.7581387230948969,-0.43717749986788074,0.6055896549702656,2.401765301152104,4.089828488007631,2.0466747702386066
2023-05-26,71225,4352.0,18957.0,1456.28,491.18,617.05,-0.3854883453297832,-0.3430293855698651,-0.33905653380566475,1.8384449109464827,3.243948219193953,2.015114453601214
2023-05-22,40915,2721.0,182520.0,1452.69,500.35,545.25,-0.7554776322159401,-0.426212253619737,2.128076884284895,1.8213225656680294,3.4274524080991204,1.0079896826835337
2023-05-12,357814,39462.0,37739.0,1436.24,453.26,543.96,3.1128574065480397,1.4476208273246793,-0.05575468767556875,1.7428650225397382,2.4851173747791275,0.9898951011447626
2023-04-19,111220,1723.0,25532.0,1624.58,430.95,596.44,0.10272417624764485,-0.47711139666926006,-0.2398812788644774,2.641144273164804,2.0386638901036327,1.7260219532027001
2023-04-12,37402,1295.0,96931.0,1642.12,411.43,589.3,-0.7983602572516072,-0.4989398868748672,0.8370790295075131,2.724800522798252,1.648042105214989,1.6258705484067066
2023-03-29,99462,27953.0,1106.0,1455.24,379.6,623.36,-0.040803835471505026,0.8606486456042773,-0.6083154655098679,1.8334846772167916,1.0110804549585577,2.103623608259858
2023-03-23,184285,13809.0,49311.0,1494.33,384.93,561.87,0.9946168600594909,0.13928844591243925,0.11879376102092104,2.0199226930760554,1.1177410140495654,1.2411152215784065
2023-03-20,84831,2113.0,27396.0,1486.69,408.42,567.1,-0.2194020953339716,-0.4572209499865807,-0.21176528263476282,1.9834840529848619,1.5878079058033694,1.3144754242511014
2023-03-15,234814,1862.0,78459.0,1473.27,403.33,589.76,1.6114162225494486,-0.4700222374669718,0.5584531269563933,1.919477960049806,1.4859500735757458,1.6323228798081295
