report_date,weighted_average_butt_bnls,z_score
2023-09-07,453.1,2.2803777953629427
2023-08-24,473.96,2.6612903849183365
2023-08-23,452.41,2.267778098009481
2023-08-18,465.9,2.5141113114851397
2023-08-15,469.39,2.577840215490333
2023-08-03,451.1,2.2438569334688494
2023-07-20,491.71,2.985413034228415
2023-07-14,491.99,2.990525954893589
2023-07-06,524.36,3.5816161046494908
2023-06-26,507.5,3.273745238882283
2023-06-15,533.45,3.7476034219581456
2023-06-01,504.78,3.2240768667063153
2023-05-26,491.18,2.975735005826481
2023-05-25,503.65,3.2034425797361528
2023-05-22,500.35,3.1431831576108995
2023-05-12,453.26,2.28329946431447
2021-09-15,461.77,2.438695731673837
2021-09-01,507.05,3.2655280449561124
2021-08-27,519.13,3.486114050796436
2021-08-24,471.89,2.62349129285795
2021-06-25,480.07,2.772861618004792
2021-06-18,509.9,3.317570273155195
2021-06-14,451.82,2.2570044437507226
2021-06-11,524.69,3.5876420468620167
2021-06-09,513.35,3.3805687599225065
2021-06-02,500.79,3.1512177472276
2021-05-28,522.91,3.555138479776272
2021-05-21,476.67,2.7107761527848333
2021-05-19,494.24,3.031611924524444
2021-05-14,497.43,3.089862699245523
2021-05-07,502.55,3.183356105694402
2021-05-05,480.32,2.7774267257415537
2021-04-27,450.0,2.2237704594270977
2021-04-22,442.97,2.09539962986936
2020-06-03,480.24,2.7759658912657903
2020-06-01,579.21,4.583200742095002
2020-04-15,204.86,-2.25259158293193
