slug_id,slug_name,report_title,published_date,markets,market_types,offices,sectionNames
2514,AMS_2514,Iowa/Minnesota Daily Direct Prior Day Purchased Swine (PDF) (LM_HG204),12/31/2020 07:25:20,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'State of Origin']"
2515,AMS_2515,Iowa/Minnesota Daily Direct Hogs Morning (PDF) (LM_HG205),12/31/2020 10:27:00,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2516,AMS_2516,Iowa/Minnesota Daily Direct Hogs Afternoon (PDF) (LM_HG206),12/31/2020 14:46:28,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2517,AMS_2517,Eastern Cornbelt Daily Direct Prior Day Purchased Swine (PDF) (LM_HG207),12/31/2020 07:25:31,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2518,AMS_2518,Western Cornbelt Daily Direct Prior Day Purchased Swine (PDF) (LM_HG208),12/31/2020 07:25:37,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'State of Origin']"
2519,AMS_2519,Eastern Cornbelt Daily Direct Hogs Morning (PDF) (LM_HG209),12/31/2020 10:27:07,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2520,AMS_2520,Eastern Cornbelt Daily Direct Hogs Afternoon (PDF) (LM_HG210),12/31/2020 14:46:36,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2521,AMS_2521,Western Cornbelt Daily Direct Hogs Morning (PDF) (LM_HG211),12/31/2020 10:27:15,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2522,AMS_2522,Western Cornbelt Daily Direct Hogs Afternoon (PDF) (LM_HG212),12/31/2020 14:46:45,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Barrows/Gilts (producer/packer sold)', 'Matrix, 185 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'Sows', 'State of Origin']"
2523,AMS_2523,National Daily Base Lean Hog Carcass Slaughter Cost (PDF) (LM_HG213),07/01/2024 10:05:40,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Detail']"
2524,AMS_2524,Weekly National Direct Swine Report (Mon) (PDF) (LM_HG214),07/01/2024 09:52:08,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Weekly Volume of Barrows/Gilts by Purchase Type', 'Weekly Volume and Weighted Average Price of Barrows/Gilts by Purchase Type', 'Weekly Volume and Weighted Average Price of Negotiated Sows', 'State of Origin']"
2648,ams_2648,National 5-Day Rolling Average Boxed Lamb Cuts - Negotiated Sales (PDF) (LM_XL500),07/01/2024 14:54:16,['LMR'],['Direct Livestock - LMR Lamb'],"['St Joseph, MO']","['Summary', 'Detail']"
2649,ams_2649,National Estimated Lamb Carcass Cutout (PDF) (LM_XL502),07/01/2024 14:54:57,['LMR'],['Direct Livestock - LMR Lamb'],"['St Joseph, MO']","['Summary', 'DETAIL', 'GROSS CARCASS VALUE', 'FORESADDLE VALUE', 'HINDSADDLE VALUE', 'NET CARCASS VALUE', 'OTHER']"
2650,AMS_2650,National Weekly Lamb Carcass and Lamb Cuts - Imported Product (PDF) (LM_XL552),07/01/2024 09:37:26,['LMR'],['Direct Livestock - LMR Lamb'],"['St Joseph, MO']","['Summary', 'Detail']"
2651,AMS_2651,National Weekly Comprehensive Lamb Carcass (Fri) (PDF) (LM_XL555),06/28/2024 15:00:11,['LMR'],['Direct Livestock - LMR Lamb'],"['St Joseph, MO']","['Summary', 'CHOICE AND PRIME, YG 1-4', 'CHOICE AND PRIME, YG 5', 'CERTIFIED FRESH AMERICAN LAMB', 'UNGRADED']"
2656,AMS_2656,National Daily Slaughter Cattle - Committed and Delivered Cattle - Summary (PDF) (LM_CT106),07/01/2024 11:06:40,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'Packer Summary', 'Volume', 'NUMBER SHIPPED OUT OF REGION OF ORIGIN']"
2659,AMS_2659,National Daily Direct Slaughter Cattle Report - Formulated Purchases - Summary (PDF) (LM_CT109),07/01/2024 11:04:52,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'Region']"
2660,AMS_2660,National Daily Direct Slaughter Cattle Report - Negotiated Purchases - AM (PDF) (LM_CT113),07/01/2024 11:04:17,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2661,AMS_2661,National Daily Direct Slaughter Cattle Report - Negotiated Purchases - PM (PDF) (LM_CT114),07/01/2024 15:06:01,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2662,AMS_2662,National Daily Direct Slaughter Cattle Report - Negotiated Purchases - Summary (PDF) (LM_CT115),07/01/2024 10:58:20,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2663,AMS_2663,TX/OK/NM Daily Direct Slaughter Cattle - Negotiated Purchases - Afternoon (PDF) (LM_CT117),07/01/2024 15:06:48,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2664,AMS_2664,TX/OK/NM Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) (LM_CT118),07/01/2024 11:02:50,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History', 'Distribution']"
2665,AMS_2665,Kansas Daily Direct Slaughter Cattle - Negotiated Purchases - Afternoon (PDF) (LM_CT120),07/01/2024 15:07:00,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2666,AMS_2666,Kansas Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) (LM_CT121),07/01/2024 11:03:17,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History', 'Distribution']"
2667,AMS_2667,Nebraska Daily Direct Slaughter Cattle - Negotiated Purchases - Afternoon (PDF) (LM_CT123),07/01/2024 15:07:11,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2668,AMS_2668,Nebraska Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) (LM_CT124),07/01/2024 11:03:38,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History', 'Distribution']"
2669,AMS_2669,CO Daily Direct Slaughter Cattle - Negotiated Purchases - Afternoon (PDF) (LM_CT133),06/27/2023 14:27:06,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2670,AMS_2670,CO Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) (LM_CT134),12/04/2023 10:12:51,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2671,AMS_2671,IA-MN Daily Direct Slaughter Cattle - Negotiated Purchases - Afternoon (PDF) (LM_CT136),07/01/2024 15:07:21,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2672,AMS_2672,IA-MN Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) (LM_CT137),07/01/2024 11:03:59,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2673,AMS_2673,Daily Direct Hog Prior Day Net Price Distribution (PDF) (LM_HG215),07/01/2024 10:05:51,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Weighted Average Net Price', 'Head Count Distribution of Average Net Price']"
2674,AMS_2674,Daily Direct Morning Hog Report (PDF) (LSDLM_HG216),07/01/2024 10:41:36,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'National Volume and Price Data', 'Iowa/Minnesota Volume and Price Data', 'Western Cornbelt Volume and Price Data', 'Eastern Cornbelt Volume and Price Data', 'Matrix, 215 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'State of Origin']"
2675,AMS_2675,Daily Direct Afternoon Hog Report (PDF) (LSDLM_HG217),07/01/2024 14:58:34,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'National Volume and Price Data', 'Iowa/Minnesota Volume and Price Data', 'Western Cornbelt Volume and Price Data', 'Eastern Cornbelt Volume and Price Data', 'Matrix, 215 lb Carcass Basis', 'Carcass Weight Differentials', '5-Day Rolling Average Market Hog based on Slaughter Data Submitted', 'State of Origin']"
2676,AMS_2676,Daily Direct Prior Day Sow and Boar (Purchased Swine) - National (PDF) (LM_HG230),12/31/2020 07:33:39,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Negotiated Sows', 'Negotiated Formula Sows', 'Swine and Pork Market Formula Sows', 'Boars', 'State of Origin']"
2677,AMS_2677,Daily Direct Prior Day Sow and Boar (Purchased Swine) - Iowa So Minn (PDF) (LM_HG231),12/31/2020 07:34:34,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Negotiated Sows', 'Negotiated Formula Sows', 'State of Origin']"
2678,AMS_2678,Daily Direct Prior Day Sow and Boar (Purchased Swine) - Eastern Cornbelt (PDF) (LM_HG232),12/31/2020 07:34:59,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Negotiated Sows', 'Negotiated Formula Sows', 'State of Origin']"
2679,AMS_2679,Daily Direct Prior Day Sow and Boar (Purchased Swine) - Western Cornbelt (PDF) (LM_HG233),12/31/2020 07:35:35,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Current Volume by Purchase Type', 'Negotiated Sows', 'Negotiated Formula Sows', 'State of Origin']"
2680,AMS_2680,National Weekly Pork Report FOB Plant - Comprehensive (PDF) (LSDLM_PK680),07/01/2024 13:18:09,['LMR'],['Direct Livestock - LMR Pork'],"['Des Moines, IA']","['Summary', 'Weekly Average Cutout and Primal Values', 'Change in Weekly Cutout Values', 'Current Volume', 'Primal Volumes', 'Primal Loads', 'Sow and Boar Values']"
2681,AMS_2681,National Weekly Pork Report FOB Omaha - Comprehensive (PDF) (LSDLM_PK681),07/01/2024 13:19:59,['LMR'],['Direct Livestock - LMR Pork'],"['Des Moines, IA']","['Summary', 'Weekly Average Cutout and Primal Values', 'Change in Weekly Cutout Values', 'Current Volume', 'Primal Volumes', 'Primal Loads', 'Sow and Boar Values']"
2685,AMS_2685,5 Area Monthly Weighted Average Direct Slaughter - Negotiated (PDF) (LM_CT180),06/07/2024 16:12:12,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2686,AMS_2686,Texas/Oklahoma Monthly Weighted Average Cattle Report - Negotiated Purchases (PDF) (LM_CT181),06/07/2024 16:15:04,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2687,AMS_2687,Kansas Monthly Weighted Average Cattle Report - Negotiated Purchases (PDF) (LM_CT182),06/07/2024 16:16:15,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2688,AMS_2688,Nebraska Monthly Weighted Average Cattle Report - Negotiated Purchases (PDF) (LM_CT183),06/07/2024 16:17:28,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2689,AMS_2689,Colorado Monthly Weighted Average Cattle Report - Negotiated Purchases (PDF) (LM_CT184),01/06/2023 08:43:54,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2690,AMS_2690,Iowa/Minnesota Monthly Weighted Average Cattle Report - Negotiated Purchases (PDF) (LM_CT185),06/07/2024 16:19:00,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail', 'History']"
2691,AMS_2691,"5 Area Monthly Direct Slaughter Cattle - Formula, Grid, and Contract Purchases (PDF) (LM_CT186)",06/07/2024 15:26:46,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2692,AMS_2692,"TX-OK-NM Monthly Direct Slaughter Cattle - Formula, Grid, and Contract Purchases (PDF) (LM_CT187)",06/07/2024 15:29:40,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2693,AMS_2693,"KS Monthly Direct Slaughter Cattle - Formula, Grid, and Contract Purchases (PDF) (LM_CT188)",06/07/2024 15:36:16,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
