total_pounds,weighted_average,report_date,item_description
"194,808",961.39,2016-04-08,tndrloin
"3,810",425.45,2016-04-08,butt_bnls
"80,915",968.53,2016-04-11,tndrloin
"63,016",424.79,2016-04-11,butt_bnls
,,2016-04-12,butt_bnls
"193,369",980.49,2016-04-12,tndrloin
"64,358",988.23,2016-04-13,tndrloin
"20,001",437.77,2016-04-13,butt_bnls
"94,553","1,001.19",2016-04-14,tndrloin
"1,057",463.01,2016-04-14,butt_bnls
"75,687",985.32,2016-04-15,tndrloin
"3,500",450.03,2016-04-15,butt_bnls
"36,099",997.89,2016-04-18,tndrloin
"30,975",435.18,2016-04-18,butt_bnls
"140,283",967.08,2016-04-19,tndrloin
"8,786",439.82,2016-04-19,butt_bnls
"4,038",447.40,2016-04-20,butt_bnls
"137,919",974.31,2016-04-20,tndrloin
"5,371",444.19,2016-04-21,butt_bnls
"155,869",956.81,2016-04-21,tndrloin
"61,172","1,020.60",2016-04-22,tndrloin
"3,492",444.70,2016-04-22,butt_bnls
"194,187",949.53,2016-04-25,tndrloin
"3,201",443.07,2016-04-25,butt_bnls
"58,147",961.24,2016-04-26,tndrloin
"4,212",438.53,2016-04-26,butt_bnls
"5,545",458.07,2016-04-27,butt_bnls
"133,247",947.57,2016-04-27,tndrloin
"143,560",927.52,2016-04-28,tndrloin
"6,392",458.33,2016-04-28,butt_bnls
"50,351",928.40,2016-04-29,tndrloin
"4,273",440.28,2016-04-29,butt_bnls
"31,041",937.50,2016-05-02,tndrloin
"3,018",452.14,2016-05-02,butt_bnls
"50,631",929.99,2016-05-03,tndrloin
,,2016-05-03,butt_bnls
"699,601",865.07,2016-05-04,tndrloin
"3,985",438.83,2016-05-04,butt_bnls
,,2016-05-05,butt_bnls
"103,306",913.88,2016-05-05,tndrloin
"23,021",912.66,2016-05-06,tndrloin
"5,490",421.09,2016-05-06,butt_bnls
"78,519",918.39,2016-05-09,tndrloin
"3,576",423.04,2016-05-09,butt_bnls
"40,925",925.17,2016-05-10,tndrloin
"177,398",414.73,2016-05-10,butt_bnls
"400,800",918.72,2016-05-11,tndrloin
"20,046",425.67,2016-05-11,butt_bnls
"15,007",444.02,2016-05-12,butt_bnls
"34,604","1,018.89",2016-05-12,tndrloin
"30,225",972.91,2016-05-13,tndrloin
"5,281",442.61,2016-05-13,butt_bnls
"30,585",983.96,2016-05-16,tndrloin
"8,537",465.58,2016-05-16,butt_bnls
"31,328","1,029.40",2016-05-17,tndrloin
"2,798",459.64,2016-05-17,butt_bnls
"38,984","1,061.50",2016-05-18,tndrloin
"8,023",440.34,2016-05-18,butt_bnls
"52,016","1,058.44",2016-05-19,tndrloin
,,2016-05-19,butt_bnls
"26,740","1,050.57",2016-05-20,tndrloin
,,2016-05-20,butt_bnls
"66,754","1,026.92",2016-05-23,tndrloin
"6,175",446.49,2016-05-23,butt_bnls
"2,984",454.94,2016-05-24,butt_bnls
"44,941","1,087.11",2016-05-24,tndrloin
"20,409",420.55,2016-05-25,butt_bnls
"23,975","1,047.49",2016-05-25,tndrloin
"27,421","1,037.26",2016-05-26,tndrloin
"1,158",448.44,2016-05-26,butt_bnls
"32,572","1,038.35",2016-05-27,tndrloin
,,2016-05-27,butt_bnls
"21,529","1,043.36",2016-05-31,tndrloin
"8,662",447.73,2016-05-31,butt_bnls
"11,122",414.71,2016-06-01,butt_bnls
"36,955","1,069.89",2016-06-01,tndrloin
