total_pounds,weighted_average,report_date,item_description
"37,098",323.96,2018-02-20,butt_bnls
"26,316",996.22,2018-02-20,tndrloin
,,2018-02-20,butt_CC
"104,535",975.88,2018-02-21,tndrloin
"8,219",505.92,2018-02-21,butt_CC
"24,421",325.19,2018-02-21,butt_bnls
"290,808",965.65,2018-02-22,tndrloin
"379,318",451.79,2018-02-22,butt_CC
"6,708",333.53,2018-02-22,butt_bnls
"5,362",332.08,2018-02-23,butt_bnls
"19,058",451.16,2018-02-23,butt_CC
"4,521",965.41,2018-02-23,tndrloin
"31,544","1,006.34",2018-02-26,tndrloin
,,2018-02-26,butt_CC
"7,288",342.27,2018-02-26,butt_bnls
"82,482",982.47,2018-02-27,tndrloin
,,2018-02-27,butt_CC
"89,899",320.90,2018-02-27,butt_bnls
"44,010",323.22,2018-02-28,butt_bnls
"32,120",474.22,2018-02-28,butt_CC
"101,037",982.14,2018-02-28,tndrloin
"5,031",326.83,2018-03-01,butt_bnls
"208,099","1,004.26",2018-03-01,tndrloin
,,2018-03-01,butt_CC
"66,732",982.24,2018-03-02,tndrloin
,,2018-03-02,butt_CC
"4,135",333.46,2018-03-02,butt_bnls
"21,669","1,005.08",2018-03-05,tndrloin
,,2018-03-05,butt_CC
"4,148",335.00,2018-03-05,butt_bnls
"3,841",500.42,2018-03-06,butt_CC
,,2018-03-06,butt_bnls
"50,574",993.66,2018-03-06,tndrloin
"256,901",992.50,2018-03-07,tndrloin
"249,214",455.09,2018-03-07,butt_CC
"6,218",335.19,2018-03-07,butt_bnls
"7,206",334.29,2018-03-08,butt_bnls
"37,642","1,016.49",2018-03-08,tndrloin
"134,286",450.85,2018-03-08,butt_CC
,,2018-03-09,butt_bnls
"24,596",998.62,2018-03-09,tndrloin
"57,359",467.73,2018-03-09,butt_CC
"55,126","1,003.29",2018-03-12,tndrloin
"8,522",517.96,2018-03-12,butt_CC
"31,787",322.66,2018-03-12,butt_bnls
"25,722","1,010.08",2018-03-13,tndrloin
"38,736",424.52,2018-03-13,butt_CC
"4,662",333.84,2018-03-13,butt_bnls
"105,004","1,000.03",2018-03-14,tndrloin
"83,717",447.32,2018-03-14,butt_CC
"5,902",332.20,2018-03-14,butt_bnls
"11,406",332.82,2018-03-15,butt_bnls
"28,812",472.45,2018-03-15,butt_CC
"25,535","1,020.24",2018-03-15,tndrloin
"29,948","1,015.15",2018-03-16,tndrloin
"15,205",449.80,2018-03-16,butt_CC
"7,704",331.28,2018-03-16,butt_bnls
"65,595","1,018.69",2018-03-19,tndrloin
"46,124",465.49,2018-03-19,butt_CC
"6,622",329.94,2018-03-19,butt_bnls
"139,845",982.17,2018-03-20,tndrloin
,,2018-03-20,butt_CC
"2,615",336.83,2018-03-20,butt_bnls
"12,551",331.45,2018-03-21,butt_bnls
"135,926",993.35,2018-03-21,tndrloin
"18,382",467.85,2018-03-21,butt_CC
"266,291",980.39,2018-03-22,tndrloin
,,2018-03-22,butt_CC
,,2018-03-22,butt_bnls
"112,960",966.38,2018-03-23,tndrloin
,,2018-03-23,butt_CC
"4,685",333.76,2018-03-23,butt_bnls
"43,366",990.58,2018-03-26,tndrloin
"29,633",461.48,2018-03-26,butt_CC
"7,253",331.77,2018-03-26,butt_bnls
"4,125",345.53,2018-03-27,butt_bnls
"52,354",983.68,2018-03-27,tndrloin
"61,292",478.85,2018-03-27,butt_CC
"185,172",957.60,2018-03-28,tndrloin
,,2018-03-28,butt_CC
"5,702",337.61,2018-03-28,butt_bnls
"21,266","1,038.49",2018-03-29,tndrloin
"10,605",508.21,2018-03-29,butt_CC
"1,639",336.70,2018-03-29,butt_bnls
"3,541",331.44,2018-03-30,butt_bnls
,,2018-03-30,butt_CC
"44,344",964.46,2018-03-30,tndrloin
"4,163",337.06,2018-04-02,butt_bnls
"420,941",919.04,2018-04-02,tndrloin
,,2018-04-02,butt_CC
,,2018-04-03,butt_bnls
"73,313",918.56,2018-04-03,tndrloin
,,2018-04-03,butt_CC
"7,522",331.47,2018-04-04,butt_bnls
"330,875",904.19,2018-04-04,tndrloin
"1,230",502.57,2018-04-04,butt_CC
"2,449",330.00,2018-04-05,butt_bnls
"123,882",938.36,2018-04-05,tndrloin
,,2018-04-05,butt_CC
"123,915",912.91,2018-04-06,tndrloin
"1,459",494.96,2018-04-06,butt_CC
"8,949",309.05,2018-04-06,butt_bnls
"53,521",908.59,2018-04-09,tndrloin
,,2018-04-09,butt_CC
"5,930",330.00,2018-04-09,butt_bnls
"3,293",330.67,2018-04-10,butt_bnls
"406,019",866.50,2018-04-10,tndrloin
"20,993",410.00,2018-04-10,butt_CC
"259,151",867.62,2018-04-11,tndrloin
"51,734",447.23,2018-04-11,butt_CC
"3,434",329.58,2018-04-11,butt_bnls
"143,576",870.72,2018-04-12,tndrloin
"11,687",479.22,2018-04-12,butt_CC
"7,893",320.82,2018-04-12,butt_bnls
"2,723",323.85,2018-04-13,butt_bnls
,,2018-04-13,butt_CC
"112,527",870.73,2018-04-13,tndrloin
"6,284",321.62,2018-04-16,butt_bnls
"25,556",877.35,2018-04-16,tndrloin
"4,667",483.77,2018-04-16,butt_CC
"163,342",865.33,2018-04-17,tndrloin
"7,072",450.51,2018-04-17,butt_CC
"3,796",320.93,2018-04-17,butt_bnls
"232,114",865.23,2018-04-18,tndrloin
"133,205",412.20,2018-04-18,butt_CC
"23,860",324.17,2018-04-18,butt_bnls
"52,326",465.57,2018-04-19,butt_CC
"19,977",311.45,2018-04-19,butt_bnls
"121,970",882.53,2018-04-19,tndrloin
"167,272",874.36,2018-04-20,tndrloin
"51,761",462.78,2018-04-20,butt_CC
"80,612",307.25,2018-04-20,butt_bnls
"8,650",320.85,2018-04-23,butt_bnls
"115,528",882.31,2018-04-23,tndrloin
"51,057",412.96,2018-04-23,butt_CC
,,2018-04-24,butt_bnls
"122,380",901.70,2018-04-24,tndrloin
"79,035",452.70,2018-04-24,butt_CC
"187,378",921.73,2018-04-25,tndrloin
"26,426",462.02,2018-04-25,butt_CC
"8,644",330.74,2018-04-25,butt_bnls
"106,687",924.06,2018-04-26,tndrloin
"25,079",486.34,2018-04-26,butt_CC
"5,852",328.57,2018-04-26,butt_bnls
"17,702",950.82,2018-04-27,tndrloin
"1,731",508.18,2018-04-27,butt_CC
"43,752",311.07,2018-04-27,butt_bnls
"12,544",330.91,2018-04-30,butt_bnls
,,2018-04-30,butt_CC
"47,308",938.81,2018-04-30,tndrloin
"86,981",976.88,2018-05-01,tndrloin
"45,188",464.75,2018-05-01,butt_CC
"10,894",336.55,2018-05-01,butt_bnls
"154,615",975.16,2018-05-02,tndrloin
,,2018-05-02,butt_CC
"1,667",336.65,2018-05-02,butt_bnls
"5,656",981.19,2018-05-03,tndrloin
,,2018-05-03,butt_CC
,,2018-05-03,butt_bnls
"19,394",326.34,2018-05-04,butt_bnls
"78,757",983.06,2018-05-04,tndrloin
,,2018-05-04,butt_CC
"17,760",983.50,2018-05-07,tndrloin
"2,562",516.46,2018-05-07,butt_CC
"76,830",330.25,2018-05-07,butt_bnls
"94,675",984.88,2018-05-08,tndrloin
"39,120",475.72,2018-05-08,butt_CC
,,2018-05-08,butt_bnls
"131,408","1,003.07",2018-05-09,tndrloin
,,2018-05-09,butt_CC
"8,840",339.15,2018-05-09,butt_bnls
"2,363",341.44,2018-05-10,butt_bnls
"94,704","1,001.27",2018-05-10,tndrloin
"48,251",484.15,2018-05-10,butt_CC
"21,598","1,024.67",2018-05-11,tndrloin
,,2018-05-11,butt_CC
"5,775",339.71,2018-05-11,butt_bnls
"25,995","1,028.62",2018-05-14,tndrloin
"38,604",470.00,2018-05-14,butt_CC
"2,823",350.14,2018-05-14,butt_bnls
,,2018-05-15,butt_bnls
"26,171",491.05,2018-05-15,butt_CC
"55,502",997.02,2018-05-15,tndrloin
"3,863",352.07,2018-05-16,butt_bnls
"187,295",993.28,2018-05-16,tndrloin
"14,875",528.50,2018-05-16,butt_CC
,,2018-05-17,butt_bnls
"96,065",976.29,2018-05-17,tndrloin
"3,619",507.48,2018-05-17,butt_CC
"62,272","1,059.07",2018-05-18,tndrloin
,,2018-05-18,butt_CC
,,2018-05-18,butt_bnls
"38,900","1,002.13",2018-05-21,tndrloin
,,2018-05-21,butt_CC
,,2018-05-21,butt_bnls
"14,692",471.05,2018-05-22,butt_CC
"2,969",349.12,2018-05-22,butt_bnls
"47,355",986.46,2018-05-22,tndrloin
"38,562","1,009.94",2018-05-23,tndrloin
"5,597",508.63,2018-05-23,butt_CC
"2,468",359.96,2018-05-23,butt_bnls
"39,710",321.30,2018-05-24,butt_bnls
"105,366",992.81,2018-05-24,tndrloin
"101,105",473.80,2018-05-24,butt_CC
"42,958",322.67,2018-05-25,butt_bnls
"9,040","1,002.20",2018-05-25,tndrloin
"1,634",547.59,2018-05-25,butt_CC
"51,728","1,030.12",2018-05-29,tndrloin
,,2018-05-29,butt_CC
"4,888",349.75,2018-05-29,butt_bnls
"135,371",987.35,2018-05-30,tndrloin
"76,683",475.16,2018-05-30,butt_CC
"5,910",346.75,2018-05-30,butt_bnls
"185,315",997.25,2018-05-31,tndrloin
"38,525",490.69,2018-05-31,butt_CC
"131,549",335.25,2018-05-31,butt_bnls
"2,553",339.83,2018-06-01,butt_bnls
"38,359",993.60,2018-06-01,tndrloin
,,2018-06-01,butt_CC
"23,578","1,011.65",2018-06-04,tndrloin
"5,600",544.62,2018-06-04,butt_CC
"4,820",346.32,2018-06-04,butt_bnls
"60,228",990.99,2018-06-05,tndrloin
"40,358",469.99,2018-06-05,butt_CC
"16,078",349.09,2018-06-05,butt_bnls
"10,025",351.54,2018-06-06,butt_bnls
"55,050",472.42,2018-06-06,butt_CC
"108,340",989.79,2018-06-06,tndrloin
"2,080",348.46,2018-06-07,butt_bnls
"11,750","1,089.19",2018-06-07,tndrloin
"13,421",541.57,2018-06-07,butt_CC
"5,821",347.95,2018-06-08,butt_bnls
"30,696",997.47,2018-06-08,tndrloin
,,2018-06-08,butt_CC
"18,826","1,016.40",2018-06-11,tndrloin
"112,721",472.78,2018-06-11,butt_CC
"5,588",350.49,2018-06-11,butt_bnls
"40,606",966.78,2018-06-12,tndrloin
"23,185",472.02,2018-06-12,butt_CC
,,2018-06-12,butt_bnls
"2,371",363.65,2018-06-13,butt_bnls
,,2018-06-13,butt_CC
"199,451",963.18,2018-06-13,tndrloin
"58,095",946.11,2018-06-14,tndrloin
"14,542",544.05,2018-06-14,butt_CC
,,2018-06-14,butt_bnls
"88,900",955.21,2018-06-15,tndrloin
,,2018-06-15,butt_CC
"5,306",350.08,2018-06-15,butt_bnls
"10,126",352.93,2018-06-18,butt_bnls
"1,437",530.02,2018-06-18,butt_CC
"31,938","1,000.10",2018-06-18,tndrloin
,,2018-06-19,butt_bnls
"116,246",942.06,2018-06-19,tndrloin
"51,544",459.05,2018-06-19,butt_CC
"255,602",939.55,2018-06-20,tndrloin
"70,247",451.76,2018-06-20,butt_CC
"2,093",350.55,2018-06-20,butt_bnls
"149,280",929.95,2018-06-21,tndrloin
"34,350",488.41,2018-06-21,butt_CC
"3,020",355.07,2018-06-21,butt_bnls
,,2018-06-22,butt_CC
,,2018-06-22,butt_bnls
"14,994",952.84,2018-06-22,tndrloin
"57,617",946.56,2018-06-25,tndrloin
"5,064",498.14,2018-06-25,butt_CC
"7,962",356.27,2018-06-25,butt_bnls
"2,285",337.85,2018-06-26,butt_bnls
"158,007",916.94,2018-06-26,tndrloin
"80,064",465.31,2018-06-26,butt_CC
"2,698",358.91,2018-06-27,butt_bnls
"123,848",919.69,2018-06-27,tndrloin
"39,365",463.38,2018-06-27,butt_CC
"48,769",491.64,2018-06-28,butt_CC
"5,502",352.31,2018-06-28,butt_bnls
"130,801",933.19,2018-06-28,tndrloin
"59,205",913.19,2018-06-29,tndrloin
"1,044",491.77,2018-06-29,butt_CC
"12,999",351.21,2018-06-29,butt_bnls
"72,305",912.09,2018-07-02,tndrloin
"22,184",475.00,2018-07-02,butt_CC
"25,399",348.95,2018-07-02,butt_bnls
"7,508",348.67,2018-07-03,butt_bnls
"1,667",506.51,2018-07-03,butt_CC
"7,508",348.67,2018-07-03,butt_bnls
"82,967",946.46,2018-07-03,tndrloin
"82,967",946.46,2018-07-03,tndrloin
"1,667",506.51,2018-07-03,butt_CC
"177,280",912.50,2018-07-05,tndrloin
"12,158",512.26,2018-07-05,butt_CC
"28,391",326.72,2018-07-05,butt_bnls
"240,558",899.88,2018-07-06,tndrloin
,,2018-07-06,butt_CC
"4,283",352.39,2018-07-06,butt_bnls
"8,180",348.18,2018-07-09,butt_bnls
,,2018-07-09,butt_CC
"119,980",911.06,2018-07-09,tndrloin
"142,115",900.14,2018-07-10,tndrloin
"3,787",470.07,2018-07-10,butt_CC
"11,973",339.76,2018-07-10,butt_bnls
"50,181",942.91,2018-07-11,tndrloin
,,2018-07-11,butt_CC
"9,060",328.89,2018-07-11,butt_bnls
"125,643",906.70,2018-07-12,tndrloin
"186,284",436.15,2018-07-12,butt_CC
"8,582",337.85,2018-07-12,butt_bnls
,,2018-07-13,butt_bnls
"54,042",897.27,2018-07-13,tndrloin
"80,003",466.80,2018-07-13,butt_CC
"231,031",898.28,2018-07-16,tndrloin
"40,822",434.96,2018-07-16,butt_CC
,,2018-07-16,butt_bnls
"195,937",902.15,2018-07-17,tndrloin
,,2018-07-17,butt_CC
"4,912",343.58,2018-07-17,butt_bnls
"287,398",896.40,2018-07-18,tndrloin
"72,056",451.78,2018-07-18,butt_CC
"16,491",334.91,2018-07-18,butt_bnls
"18,681",320.58,2018-07-19,butt_bnls
"61,322",906.45,2018-07-19,tndrloin
"135,819",437.62,2018-07-19,butt_CC
"22,668",905.95,2018-07-20,tndrloin
,,2018-07-20,butt_CC
,,2018-07-20,butt_bnls
"76,143",909.46,2018-07-23,tndrloin
"7,092",466.84,2018-07-23,butt_CC
"4,772",330.44,2018-07-23,butt_bnls
"149,961",901.49,2018-07-24,tndrloin
"5,199",467.53,2018-07-24,butt_CC
,,2018-07-24,butt_bnls
"2,113",335.41,2018-07-25,butt_bnls
"271,368",903.28,2018-07-25,tndrloin
"79,352",432.52,2018-07-25,butt_CC
"36,843",912.46,2018-07-26,tndrloin
"82,102",423.38,2018-07-26,butt_CC
"18,240",322.96,2018-07-26,butt_bnls
"60,722",910.85,2018-07-27,tndrloin
"99,479",437.34,2018-07-27,butt_CC
"45,268",318.56,2018-07-27,butt_bnls
"20,644",923.91,2018-07-30,tndrloin
,,2018-07-30,butt_CC
"5,128",324.88,2018-07-30,butt_bnls
"7,784",309.49,2018-07-31,butt_bnls
"74,499",915.05,2018-07-31,tndrloin
"8,915",429.95,2018-07-31,butt_CC
"289,742",902.45,2018-08-01,tndrloin
,,2018-08-01,butt_CC
"2,819",336.05,2018-08-01,butt_bnls
"18,846",945.69,2018-08-02,tndrloin
"156,987",422.11,2018-08-02,butt_CC
,,2018-08-02,butt_bnls
"49,370",922.57,2018-08-03,tndrloin
"61,319",423.11,2018-08-03,butt_CC
,,2018-08-03,butt_bnls
"13,841",312.25,2018-08-06,butt_bnls
"27,315",903.53,2018-08-06,tndrloin
"101,136",418.72,2018-08-06,butt_CC
"155,121",906.97,2018-08-07,tndrloin
"30,478",447.08,2018-08-07,butt_CC
,,2018-08-07,butt_bnls
"222,841",907.65,2018-08-08,tndrloin
"42,705",430.86,2018-08-08,butt_CC
"6,328",315.21,2018-08-08,butt_bnls
"23,300",307.02,2018-08-09,butt_bnls
"70,927",918.29,2018-08-09,tndrloin
"46,007",433.83,2018-08-09,butt_CC
"12,592",306.72,2018-08-10,butt_bnls
"137,014",918.99,2018-08-10,tndrloin
"2,781",440.63,2018-08-10,butt_CC
"29,564",295.73,2018-08-13,butt_bnls
"31,307",946.81,2018-08-13,tndrloin
"9,148",446.14,2018-08-13,butt_CC
"30,629",928.24,2018-08-14,tndrloin
"9,257",427.75,2018-08-14,butt_CC
"5,396",305.49,2018-08-14,butt_bnls
"71,375",949.27,2018-08-15,tndrloin
"3,300",457.78,2018-08-15,butt_CC
"7,665",309.63,2018-08-15,butt_bnls
,,2018-08-16,butt_bnls
"12,715",456.58,2018-08-16,butt_CC
"35,035",961.31,2018-08-16,tndrloin
"56,502",930.75,2018-08-17,tndrloin
,,2018-08-17,butt_CC
"10,099",294.82,2018-08-17,butt_bnls
"29,965",987.98,2018-08-20,tndrloin
"4,070",439.12,2018-08-20,butt_CC
,,2018-08-20,butt_bnls
,,2018-08-21,butt_bnls
,,2018-08-21,butt_CC
"122,567",943.24,2018-08-21,tndrloin
"16,549",302.04,2018-08-22,butt_bnls
"125,729",942.42,2018-08-22,tndrloin
"44,742",422.51,2018-08-22,butt_CC
"44,748",955.36,2018-08-23,tndrloin
"19,261",440.28,2018-08-23,butt_CC
"3,016",295.70,2018-08-23,butt_bnls
"70,818",945.67,2018-08-24,tndrloin
,,2018-08-24,butt_CC
"5,989",293.48,2018-08-24,butt_bnls
"3,223",434.29,2018-08-27,butt_CC
"13,390",294.83,2018-08-27,butt_bnls
"52,018",966.45,2018-08-27,tndrloin
"37,823",989.29,2018-08-28,tndrloin
"50,887",395.49,2018-08-28,butt_CC
,,2018-08-28,butt_bnls
"2,277",297.73,2018-08-29,butt_bnls
"89,790",960.29,2018-08-29,tndrloin
"103,000",408.98,2018-08-29,butt_CC
"4,867",282.55,2018-08-30,butt_bnls
"21,762",981.97,2018-08-30,tndrloin
,,2018-08-30,butt_CC
"11,508",968.74,2018-08-31,tndrloin
"30,899",360.83,2018-08-31,butt_CC
,,2018-08-31,butt_bnls
"109,091",926.32,2018-09-04,tndrloin
"4,628",435.78,2018-09-04,butt_CC
,,2018-09-04,butt_bnls
"97,586",941.63,2018-09-05,tndrloin
"11,954",393.40,2018-09-05,butt_CC
"20,524",273.01,2018-09-05,butt_bnls
"5,358",278.00,2018-09-06,butt_bnls
"177,776",392.67,2018-09-06,butt_CC
"295,054",916.22,2018-09-06,tndrloin
"83,527",923.33,2018-09-07,tndrloin
"73,923",386.39,2018-09-07,butt_CC
"5,769",287.42,2018-09-07,butt_bnls
"25,612",935.11,2018-09-10,tndrloin
"10,164",391.88,2018-09-10,butt_CC
"17,952",276.00,2018-09-10,butt_bnls
"79,438",938.37,2018-09-11,tndrloin
"24,208",372.64,2018-09-11,butt_CC
"17,259",267.56,2018-09-11,butt_bnls
"3,612",275.20,2018-09-12,butt_bnls
"75,689",933.09,2018-09-12,tndrloin
"108,569",374.65,2018-09-12,butt_CC
"154,526",911.60,2018-09-13,tndrloin
"18,651",406.87,2018-09-13,butt_CC
,,2018-09-13,butt_bnls
"221,435",923.26,2018-09-14,tndrloin
,,2018-09-14,butt_CC
"10,606",266.41,2018-09-14,butt_bnls
"53,911",980.29,2018-09-17,tndrloin
"7,392",403.75,2018-09-17,butt_CC
"1,779",269.35,2018-09-17,butt_bnls
"1,127",272.11,2018-09-18,butt_bnls
"185,471",931.15,2018-09-18,tndrloin
"36,789",364.75,2018-09-18,butt_CC
"154,693",935.86,2018-09-19,tndrloin
"12,972",407.87,2018-09-19,butt_CC
"1,774",283.25,2018-09-19,butt_bnls
"98,846",936.06,2018-09-20,tndrloin
,,2018-09-20,butt_CC
"13,845",259.92,2018-09-20,butt_bnls
,,2018-09-21,butt_bnls
"28,211",938.81,2018-09-21,tndrloin
,,2018-09-21,butt_CC
"3,849",266.32,2018-09-24,butt_bnls
"56,547",986.91,2018-09-24,tndrloin
"9,364",401.46,2018-09-24,butt_CC
"21,056",949.29,2018-09-25,tndrloin
"104,560",367.17,2018-09-25,butt_CC
"34,937",255.40,2018-09-25,butt_bnls
"64,784",998.45,2018-09-26,tndrloin
"3,339",407.56,2018-09-26,butt_CC
"44,543",249.56,2018-09-26,butt_bnls
,,2018-09-27,butt_bnls
"3,045",394.62,2018-09-27,butt_CC
"61,139",975.11,2018-09-27,tndrloin
,,2018-09-28,butt_CC
,,2018-09-28,butt_bnls
"34,942","1,023.06",2018-09-28,tndrloin
"9,910",979.33,2018-10-01,tndrloin
"13,510",402.60,2018-10-01,butt_CC
,,2018-10-01,butt_bnls
"19,232","1,000.53",2018-10-02,tndrloin
"74,941",373.30,2018-10-02,butt_CC
,,2018-10-02,butt_bnls
"7,583",263.11,2018-10-03,butt_bnls
"94,762","1,002.06",2018-10-03,tndrloin
"122,143",375.57,2018-10-03,butt_CC
"88,405","1,015.03",2018-10-04,tndrloin
"85,707",365.73,2018-10-04,butt_CC
"13,730",248.76,2018-10-04,butt_bnls
"75,089",999.33,2018-10-05,tndrloin
,,2018-10-05,butt_CC
"7,918",261.66,2018-10-05,butt_bnls
"20,351","1,013.45",2018-10-08,tndrloin
"154,077",371.56,2018-10-08,butt_CC
"34,566",250.49,2018-10-08,butt_bnls
,,2018-10-09,butt_bnls
,,2018-10-09,butt_CC
"66,603","1,019.56",2018-10-09,tndrloin
"79,621","1,014.72",2018-10-10,tndrloin
"18,977",388.74,2018-10-10,butt_CC
"4,932",267.65,2018-10-10,butt_bnls
"13,649","1,038.97",2018-10-11,tndrloin
"2,692",376.34,2018-10-11,butt_CC
"77,650",240.03,2018-10-11,butt_bnls
"45,942","1,025.85",2018-10-12,tndrloin
"9,067",382.91,2018-10-12,butt_CC
"6,320",267.07,2018-10-12,butt_bnls
,,2018-10-15,butt_bnls
"68,429","1,025.87",2018-10-15,tndrloin
,,2018-10-15,butt_CC
"8,769","1,039.49",2018-10-16,tndrloin
,,2018-10-16,butt_CC
,,2018-10-16,butt_bnls
"107,949","1,056.75",2018-10-17,tndrloin
"49,437",377.31,2018-10-17,butt_CC
"18,938",248.71,2018-10-17,butt_bnls
"42,400","1,072.18",2018-10-18,tndrloin
,,2018-10-18,butt_CC
,,2018-10-18,butt_bnls
,,2018-10-19,butt_bnls
"42,167","1,063.38",2018-10-19,tndrloin
,,2018-10-19,butt_CC
"16,471","1,064.48",2018-10-22,tndrloin
"13,696",370.60,2018-10-22,butt_CC
"4,765",260.00,2018-10-22,butt_bnls
"7,496","1,115.31",2018-10-23,tndrloin
,,2018-10-23,butt_CC
"12,694",256.09,2018-10-23,butt_bnls
"83,912","1,109.10",2018-10-24,tndrloin
"57,991",409.35,2018-10-24,butt_CC
"4,288",267.66,2018-10-24,butt_bnls
"43,539",258.18,2018-10-25,butt_bnls
"151,374","1,119.33",2018-10-25,tndrloin
,,2018-10-25,butt_CC
"63,148","1,105.81",2018-10-26,tndrloin
,,2018-10-26,butt_CC
,,2018-10-26,butt_bnls
"21,147","1,120.66",2018-10-29,tndrloin
"6,052",418.88,2018-10-29,butt_CC
,,2018-10-29,butt_bnls
"14,245","1,116.29",2018-10-30,tndrloin
"7,461",383.21,2018-10-30,butt_CC
"72,672",284.26,2018-10-30,butt_bnls
"17,158",287.06,2018-10-31,butt_bnls
"94,551","1,162.13",2018-10-31,tndrloin
"8,045",380.68,2018-10-31,butt_CC
"122,403","1,166.46",2018-11-01,tndrloin
"11,826",427.82,2018-11-01,butt_CC
,,2018-11-01,butt_bnls
"114,221","1,140.82",2018-11-02,tndrloin
,,2018-11-02,butt_CC
,,2018-11-02,butt_bnls
"47,934",280.42,2018-11-05,butt_bnls
"24,619","1,154.47",2018-11-05,tndrloin
,,2018-11-05,butt_CC
,,2018-11-06,butt_bnls
"4,080","1,161.51",2018-11-06,tndrloin
"17,135",411.53,2018-11-06,butt_CC
"1,650",295.59,2018-11-07,butt_bnls
"56,682","1,167.47",2018-11-07,tndrloin
"3,666",453.06,2018-11-07,butt_CC
"46,154","1,139.81",2018-11-08,tndrloin
"15,174",439.60,2018-11-08,butt_CC
"3,818",302.18,2018-11-08,butt_bnls
"155,497","1,148.60",2018-11-09,tndrloin
"69,799",398.08,2018-11-09,butt_CC
,,2018-11-09,butt_bnls
,,2018-11-12,butt_bnls
"4,203",431.76,2018-11-12,butt_CC
"11,455","1,152.40",2018-11-12,tndrloin
"38,309","1,168.02",2018-11-13,tndrloin
,,2018-11-13,butt_CC
,,2018-11-13,butt_bnls
"70,384","1,191.68",2018-11-14,tndrloin
,,2018-11-14,butt_CC
"4,240",294.10,2018-11-14,butt_bnls
,,2018-11-15,butt_bnls
,,2018-11-15,butt_CC
"155,388","1,187.10",2018-11-15,tndrloin
"5,343",294.84,2018-11-16,butt_bnls
"20,244","1,213.26",2018-11-16,tndrloin
"22,323",442.19,2018-11-16,butt_CC
"72,284","1,169.35",2018-11-19,tndrloin
,,2018-11-19,butt_CC
,,2018-11-19,butt_bnls
"105,679","1,195.59",2018-11-20,tndrloin
"14,394",437.44,2018-11-20,butt_CC
,,2018-11-20,butt_bnls
"17,246",463.00,2018-11-21,butt_CC
"43,159",318.43,2018-11-21,butt_bnls
"189,456","1,193.28",2018-11-21,tndrloin
"20,125","1,144.75",2018-11-23,tndrloin
,,2018-11-23,butt_CC
,,2018-11-23,butt_bnls
"3,022",305.56,2018-11-26,butt_bnls
"6,580","1,208.90",2018-11-26,tndrloin
,,2018-11-26,butt_CC
,,2018-11-27,butt_bnls
"400,958","1,167.94",2018-11-27,tndrloin
,,2018-11-27,butt_CC
"74,688","1,207.29",2018-11-28,tndrloin
"3,581",450.95,2018-11-28,butt_CC
"6,386",317.15,2018-11-28,butt_bnls
"125,676","1,152.49",2018-11-29,tndrloin
"11,303",454.88,2018-11-29,butt_CC
,,2018-11-29,butt_bnls
"6,337","1,166.34",2018-11-30,tndrloin
"1,696",480.27,2018-11-30,butt_CC
,,2018-11-30,butt_bnls
"1,794",310.00,2018-12-03,butt_bnls
"83,463",422.67,2018-12-03,butt_CC
"6,897","1,197.26",2018-12-03,tndrloin
"188,014","1,155.10",2018-12-04,tndrloin
,,2018-12-04,butt_CC
"5,538",324.68,2018-12-04,butt_bnls
"41,239","1,183.52",2018-12-05,tndrloin
"29,166",454.79,2018-12-05,butt_CC
"2,555",319.54,2018-12-05,butt_bnls
"112,936","1,160.21",2018-12-06,tndrloin
"19,743",461.92,2018-12-06,butt_CC
,,2018-12-06,butt_bnls
,,2018-12-07,butt_bnls
"59,456","1,159.33",2018-12-07,tndrloin
,,2018-12-07,butt_CC
"46,009","1,176.15",2018-12-10,tndrloin
"13,109",452.36,2018-12-10,butt_CC
,,2018-12-10,butt_bnls
"116,689","1,161.50",2018-12-11,tndrloin
"13,516",475.75,2018-12-11,butt_CC
"2,973",331.75,2018-12-11,butt_bnls
"235,043","1,153.90",2018-12-12,tndrloin
"1,767",482.85,2018-12-12,butt_CC
"1,533",332.56,2018-12-12,butt_bnls
,,2018-12-13,butt_bnls
"84,972","1,146.15",2018-12-13,tndrloin
"28,393",475.76,2018-12-13,butt_CC
"160,259","1,040.21",2018-12-14,tndrloin
,,2018-12-14,butt_CC
"1,784",326.21,2018-12-14,butt_bnls
"60,518","1,115.53",2018-12-17,tndrloin
"16,980",463.17,2018-12-17,butt_CC
,,2018-12-17,butt_bnls
,,2018-12-18,butt_bnls
"267,899","1,045.43",2018-12-18,tndrloin
,,2018-12-18,butt_CC
"3,950",338.92,2018-12-19,butt_bnls
"68,962","1,084.26",2018-12-19,tndrloin
,,2018-12-19,butt_CC
,,2018-12-20,butt_bnls
"106,101","1,074.24",2018-12-20,tndrloin
"8,553",487.59,2018-12-20,butt_CC
"58,241","1,080.23",2018-12-21,tndrloin
,,2018-12-21,butt_CC
,,2018-12-21,butt_bnls
"172,990","1,051.65",2018-12-26,tndrloin
"2,570",495.35,2018-12-26,butt_CC
"8,550",334.48,2018-12-26,butt_bnls
"86,085",470.71,2018-12-27,butt_CC
"5,746",340.39,2018-12-27,butt_bnls
"225,308","1,033.24",2018-12-27,tndrloin
"100,548","1,031.32",2018-12-28,tndrloin
"76,955",468.62,2018-12-28,butt_CC
,,2018-12-28,butt_bnls
"6,590",325.38,2018-12-31,butt_bnls
"306,982",991.51,2018-12-31,tndrloin
,,2018-12-31,butt_CC
