report_date,total_pounds
2022-06-28,
2022-06-27,
2022-06-24,
2022-06-23,
2022-06-22,5865
2022-06-21,
2022-06-20,
2022-06-17,1723
2022-06-16,
2022-06-15,
2022-06-14,
2022-06-13,
2022-06-10,2244
2022-06-09,
2022-06-08,
2022-06-07,
2022-06-06,
2022-06-03,
2022-06-02,
2022-06-01,3606
2022-05-31,
2022-05-27,
2022-05-26,2065
2022-05-25,2117
2022-05-24,
2022-05-23,1152
2022-05-20,
2022-05-19,
2022-05-18,
2022-05-17,
2022-05-16,2133
2022-05-13,
2022-05-12,5398
2022-05-11,
2022-05-10,
2022-05-09,20235
2022-05-06,93132
2022-05-05,
2022-05-04,
2022-05-03,
2022-05-02,
2022-04-29,6910
2022-04-28,
2022-04-27,2158
2022-04-26,20366
2022-04-25,
2022-04-22,2424
2022-04-21,
2022-04-20,
2022-04-19,
2022-04-18,
2022-04-15,3106
2022-04-14,3678
2022-04-13,
2022-04-12,
2022-04-11,1438
2022-04-08,
2022-04-07,1362
2022-04-06,
2022-04-05,
2022-04-04,
2022-04-01,
2022-03-31,
2022-03-30,
2022-03-29,
2022-03-28,3978
2022-03-25,3993
2022-03-24,
2022-03-23,
2022-03-22,
2022-03-21,
2022-03-18,
2022-03-17,4315
2022-03-16,
2022-03-15,
2022-03-14,
2022-03-11,
2022-03-10,
2022-03-09,11505
2022-03-08,10570
2022-03-07,
2022-03-04,11657
2022-03-03,
2022-03-02,
2022-03-01,1395
2022-02-28,
2022-02-25,14911
2022-02-24,
2022-02-23,2713
2022-02-22,7965
2022-02-21,
2022-02-18,
2022-02-17,1646
2022-02-16,
2022-02-15,
2022-02-14,
2022-02-11,1501
2022-02-10,
2022-02-09,
2022-02-08,
2022-02-07,
2022-02-04,
2022-02-03,
2022-02-02,
2022-02-01,
2022-01-31,
2022-01-28,
2022-01-27,
2022-01-26,
2022-01-25,
2022-01-24,1641
2022-01-21,
2022-01-20,
2022-01-19,1772
2022-01-18,
2022-01-17,
2022-01-14,
2022-01-13,
2022-01-12,
2022-01-11,
2022-01-10,
2022-01-07,
2022-01-06,5203
2022-01-05,2864
2022-01-04,
2022-01-03,
2021-12-30,
2021-12-29,
2021-12-28,
2021-12-27,5268
2021-12-23,46514
2021-12-22,6165
2021-12-21,
2021-12-20,
2021-12-17,
2021-12-16,2377
2021-12-15,2899
2021-12-14,2476
2021-12-13,
2021-12-10,2095
2021-12-09,
2021-12-08,
2021-12-07,
2021-12-06,
2021-12-03,
2021-12-02,3770
2021-12-01,4961
2021-11-30,1282
2021-11-29,
2021-11-26,
2021-11-24,2392
2021-11-23,
2021-11-22,8035
2021-11-19,
2021-11-18,
2021-11-17,2568
2021-11-16,
2021-11-15,10193
2021-11-12,3644
2021-11-11,
2021-11-10,5138
2021-11-09,2103
2021-11-08,
2021-11-05,
2021-11-04,
2021-11-03,4022
2021-11-02,
2021-11-01,
2021-10-29,
2021-10-28,12271
2021-10-27,1095
2021-10-26,
2021-10-25,1481
2021-10-22,1377
2021-10-21,
2021-10-20,
2021-10-19,4737
2021-10-18,
2021-10-15,
2021-10-14,
2021-10-13,7416
2021-10-12,
2021-10-11,
2021-10-08,
2021-10-07,2789
2021-10-06,
2021-10-05,7992
2021-10-04,
2021-10-01,
2021-09-30,
2021-09-29,
2021-09-28,
2021-09-27,
2021-09-24,
2021-09-23,
