report_date,total_pounds
2022-09-28,223778
2022-09-27,186913
2022-09-26,98892
2022-09-23,63708
2022-09-22,59195
2022-09-21,194454
2022-09-20,98275
2022-09-19,219669
2022-09-16,57793
2022-09-15,56367
2022-09-14,134612
2022-09-13,297190
2022-09-12,28860
2022-09-09,45971
2022-09-08,143274
2022-09-07,168219
2022-09-06,38729
2022-09-02,186977
2022-09-01,58228
2022-08-31,112938
2022-08-30,114869
2022-08-29,140156
2022-08-26,53746
2022-08-25,143244
2022-08-24,48756
2022-08-23,110177
2022-08-22,34584
2022-08-19,22189
2022-08-18,399015
2022-08-17,77494
2022-08-16,50483
2022-08-15,65464
2022-08-12,47144
2022-08-11,13519
2022-08-10,119060
2022-08-09,63549
2022-08-08,45273
2022-08-05,138020
2022-08-04,166456
2022-08-03,75131
2022-08-02,87953
2022-08-01,13967
2022-07-29,32891
2022-07-28,162029
2022-07-27,52003
2022-07-26,64861
2022-07-25,11762
2022-07-22,41599
2022-07-21,35889
2022-07-20,137554
2022-07-19,31035
2022-07-18,18377
2022-07-15,65643
2022-07-14,124631
2022-07-13,42240
2022-07-12,133806
2022-07-11,27010
2022-07-08,48582
2022-07-07,71842
2022-07-06,52113
2022-07-05,17656
2022-07-01,92279
2022-06-30,92597
2022-06-29,66219
2022-06-28,121514
2022-06-27,69474
2022-06-24,63981
2022-06-23,264445
2022-06-22,353728
2022-06-21,154757
2022-06-20,5508
2022-06-17,243576
2022-06-16,260736
2022-06-15,122033
2022-06-14,240248
2022-06-13,15064
2022-06-10,47048
2022-06-09,75538
2022-06-08,99625
2022-06-07,60770
2022-06-06,19426
2022-06-03,95165
2022-06-02,191856
2022-06-01,78644
2022-05-31,66886
2022-05-27,30113
2022-05-26,123037
2022-05-25,59543
2022-05-24,101360
2022-05-23,60900
2022-05-20,42004
2022-05-19,145241
2022-05-18,85238
2022-05-17,77395
2022-05-16,45409
2022-05-13,73556
2022-05-12,187467
2022-05-11,111125
2022-05-10,60881
2022-05-09,27254
2022-05-06,36290
2022-05-05,147392
2022-05-04,90221
2022-05-03,98856
2022-05-02,28691
2022-04-29,48042
2022-04-28,84037
2022-04-27,90709
2022-04-26,8012
2022-04-25,28155
2022-04-22,48789
2022-04-21,63472
2022-04-20,67081
2022-04-19,41002
2022-04-18,31246
2022-04-15,38241
2022-04-14,64941
2022-04-13,74682
2022-04-12,51349
2022-04-11,60280
2022-04-08,152623
2022-04-07,59511
2022-04-06,74644
2022-04-05,255121
2022-04-04,52699
2022-04-01,44704
2022-03-31,117576
2022-03-30,64651
2022-03-29,62357
2022-03-28,81185
2022-03-25,32336
2022-03-24,89148
2022-03-23,177829
2022-03-22,50553
2022-03-21,51803
2022-03-18,60954
2022-03-17,116676
2022-03-16,75222
2022-03-15,38538
2022-03-14,53773
2022-03-11,71030
2022-03-10,134796
2022-03-09,201640
2022-03-08,111508
2022-03-07,53426
2022-03-04,31464
2022-03-03,167382
2022-03-02,35695
2022-03-01,150534
2022-02-28,67317
2022-02-25,6639
2022-02-24,165814
2022-02-23,208557
2022-02-22,197445
2022-02-21,123021
2022-02-18,39798
2022-02-17,90556
2022-02-16,34043
2022-02-15,41633
2022-02-14,12730
2022-02-11,148171
2022-02-10,131702
2022-02-09,133929
2022-02-08,1541061
2022-02-07,28275
2022-02-04,126533
2022-02-03,67847
2022-02-02,279813
2022-02-01,12579
2022-01-31,85471
2022-01-28,37141
2022-01-27,133336
2022-01-26,38889
2022-01-25,24512
2022-01-24,19556
2022-01-21,106799
2022-01-20,59265
2022-01-19,63840
2022-01-18,12237
2022-01-17,27397
2022-01-14,69233
2022-01-13,89109
2022-01-12,55348
2022-01-11,92774
2022-01-10,54917
2022-01-07,102757
2022-01-06,299566
2022-01-05,204208
2022-01-04,37104
2022-01-03,67455
2021-12-30,159703
2021-12-29,178786
2021-12-28,39940
2021-12-27,234926
2021-12-23,148368
2021-12-22,182061
2021-12-21,163006
2021-12-20,95618
2021-12-17,88638
2021-12-16,212693
2021-12-15,58089
2021-12-14,221441
2021-12-13,54194
2021-12-10,33983
2021-12-09,210236
2021-12-08,220433
2021-12-07,80390
2021-12-06,101655
2021-12-03,85596
2021-12-02,151136
2021-12-01,137695
2021-11-30,36268
2021-11-29,85050
2021-11-26,8924
2021-11-24,72177
2021-11-23,178382
2021-11-22,34148
2021-11-19,29260
2021-11-18,228740
2021-11-17,23548
2021-11-16,164187
2021-11-15,18590
2021-11-12,52135
2021-11-11,218208
2021-11-10,65574
2021-11-09,53787
2021-11-08,110680
2021-11-05,209748
2021-11-04,164737
2021-11-03,112089
2021-11-02,20860
2021-11-01,12826
2021-10-29,32212
2021-10-28,123585
2021-10-27,91877
2021-10-26,31932
2021-10-25,153475
2021-10-22,117734
2021-10-21,178317
2021-10-20,153075
2021-10-19,101157
2021-10-18,61320
2021-10-15,74145
2021-10-14,149475
2021-10-13,186101
2021-10-12,53866
2021-10-11,94068
2021-10-08,58687
2021-10-07,150489
2021-10-06,137072
2021-10-05,252427
2021-10-04,71054
2021-10-01,147316
2021-09-30,179294
2021-09-29,293907
2021-09-28,62655
2021-09-27,17744
2021-09-24,41036
2021-09-23,56545
2021-09-22,432166
2021-09-21,22601
2021-09-20,43913
2021-09-17,120737
2021-09-16,291669
2021-09-15,173107
2021-09-14,82655
2021-09-13,100265
2021-09-10,271924
2021-09-09,76331
2021-09-08,36651
2021-09-07,5425
2021-09-03,36717
2021-09-02,50953
2021-09-01,46017
2021-08-31,58505
2021-08-30,45040
2021-08-27,38567
2021-08-26,75670
2021-08-25,53564
2021-08-24,31310
2021-08-23,13827
2021-08-20,51584
2021-08-19,18063
2021-08-18,131831
2021-08-17,80715
2021-08-16,153932
2021-08-13,43693
2021-08-12,27100
2021-08-11,85406
2021-08-10,123243
2021-08-09,61429
2021-08-06,46238
2021-08-05,49186
2021-08-04,101273
2021-08-03,64063
2021-08-02,54818
