,total_pounds_tndrloin,total_pounds_butt_bnls,total_pounds_butt_CC,weighted_average_tndrloin,weighted_average_butt_bnls,weighted_average_butt_CC
total_pounds_tndrloin,1.0,-0.020561626007248302,0.06947167564973286,-0.08675450476449552,-0.05648174921753161,-0.0532091096601701
total_pounds_butt_bnls,-0.020561626007248302,1.0,0.007234813125530219,-0.12401574475719696,-0.1901598602071047,-0.14120286929216463
total_pounds_butt_CC,0.06947167564973286,0.007234813125530219,1.0,-0.017346383922862505,-0.0934996628702723,-0.2207433334959372
weighted_average_tndrloin,-0.08675450476449552,-0.12401574475719696,-0.017346383922862505,1.0,0.5995224515138817,0.7039095951509534
weighted_average_butt_bnls,-0.05648174921753161,-0.1901598602071047,-0.0934996628702723,0.5995224515138817,1.0,0.8636967650890233
weighted_average_butt_CC,-0.0532091096601701,-0.14120286929216463,-0.2207433334959372,0.7039095951509534,0.8636967650890233,1.0
