report_date,weighted_average
2022-12-14,1645.35
2022-12-13,1593.77
2022-12-12,1577.77
2022-12-09,1585.83
2022-12-08,1583.52
2022-12-07,1601.40
2022-12-06,1579.48
2022-12-05,1596.28
2022-12-02,1546.60
2022-12-01,1570.42
2022-11-30,1541.01
2022-11-29,1617.74
2022-11-28,1580.65
2022-11-25,1547.13
2022-11-23,1558.90
2022-11-22,1555.59
2022-11-21,1561.70
2022-11-18,1532.54
2022-11-17,1531.91
2022-11-16,1534.36
2022-11-15,1524.40
2022-11-14,1533.44
2022-11-11,1519.02
2022-11-10,1526.07
2022-11-09,1488.51
2022-11-08,1502.64
2022-11-07,1498.75
2022-11-04,1451.92
2022-11-03,1425.36
2022-11-02,1475.04
2022-11-01,1517.85
2022-10-31,1447.96
2022-10-28,1430.77
2022-10-27,1449.95
2022-10-26,1455.93
2022-10-25,1448.69
2022-10-24,1439.41
2022-10-21,1392.64
2022-10-20,1380.27
2022-10-19,1399.28
2022-10-18,1385.14
2022-10-17,1413.41
2022-10-14,1344.66
2022-10-13,1368.43
2022-10-12,1364.36
2022-10-11,1389.60
2022-10-10,1380.12
2022-10-07,1333.48
2022-10-06,1326.57
2022-10-05,1341.41
2022-10-04,1310.00
2022-10-03,1277.71
2022-09-30,1281.10
2022-09-29,1264.24
2022-09-28,1256.43
2022-09-27,1266.15
2022-09-26,1225.26
2022-09-23,1199.16
2022-09-22,1220.27
2022-09-21,1202.53
2022-09-20,1173.28
2022-09-19,1149.28
2022-09-16,1167.83
2022-09-15,1173.37
2022-09-14,1167.97
2022-09-13,1172.06
2022-09-12,1174.78
2022-09-09,1141.85
2022-09-08,1160.71
2022-09-07,1131.08
2022-09-06,1183.54
2022-09-02,1125.95
2022-09-01,1144.06
2022-08-31,1134.35
2022-08-30,1140.69
2022-08-29,1086.86
2022-08-26,1121.70
2022-08-25,1137.96
2022-08-24,1151.97
2022-08-23,1118.23
2022-08-22,1120.39
2022-08-19,1127.94
2022-08-18,1075.05
2022-08-17,1114.91
2022-08-16,1138.65
2022-08-15,1141.61
2022-08-12,1102.60
2022-08-11,1169.41
2022-08-10,1099.06
2022-08-09,1157.03
2022-08-08,1097.13
2022-08-05,1101.23
2022-08-04,1075.61
2022-08-03,1167.72
2022-08-02,1137.14
2022-08-01,1228.95
2022-07-29,1207.26
2022-07-28,1150.82
2022-07-27,1188.97
2022-07-26,1193.64
2022-07-25,1206.73
2022-07-22,1200.81
2022-07-21,1221.89
2022-07-20,1177.62
2022-07-19,1292.21
2022-07-18,1246.06
2022-07-15,1218.92
2022-07-14,1169.53
2022-07-13,1224.28
2022-07-12,1211.28
2022-07-11,1232.84
2022-07-08,1255.17
2022-07-07,1200.26
2022-07-06,1232.73
2022-07-05,1256.92
2022-07-01,1146.17
2022-06-30,1126.21
2022-06-29,1219.81
2022-06-28,1125.12
2022-06-27,1101.95
2022-06-24,1161.03
2022-06-23,1088.21
2022-06-22,1103.50
2022-06-21,1100.49
2022-06-20,1244.93
2022-06-17,1109.89
2022-06-16,1160.86
2022-06-15,1167.94
2022-06-14,1220.26
2022-06-13,1327.28
2022-06-10,1310.85
2022-06-09,1279.26
2022-06-08,1287.65
2022-06-07,1351.97
2022-06-06,1345.42
2022-06-03,1295.40
2022-06-02,1304.69
2022-06-01,1314.59
2022-05-31,1347.21
2022-05-27,1342.21
2022-05-26,1312.79
2022-05-25,1309.68
2022-05-24,1298.67
2022-05-23,1361.05
2022-05-20,1327.98
2022-05-19,1296.61
2022-05-18,1320.11
2022-05-17,1294.39
2022-05-16,1346.83
2022-05-13,1289.06
2022-05-12,1282.37
2022-05-11,1296.10
2022-05-10,1333.23
2022-05-09,1349.50
2022-05-06,1448.45
2022-05-05,1330.72
