report_date,total_pounds
2022-09-09,14538
2022-09-08,
2022-09-07,9277
2022-09-06,113365
2022-09-02,
2022-09-01,5936
2022-08-31,2502
2022-08-30,83062
2022-08-29,51902
2022-08-26,
2022-08-25,13394
2022-08-24,2831
2022-08-23,4952
2022-08-22,63545
2022-08-19,6178
2022-08-18,94412
2022-08-17,8228
2022-08-16,22791
2022-08-15,47476
2022-08-12,2716
2022-08-11,85168
2022-08-10,21132
2022-08-09,5561
2022-08-08,88765
2022-08-05,39119
2022-08-04,77023
2022-08-03,4208
2022-08-02,
2022-08-01,67298
2022-07-29,7307
2022-07-28,13324
2022-07-27,44989
2022-07-26,23705
2022-07-25,70562
2022-07-22,
2022-07-21,46922
2022-07-20,20905
2022-07-19,5326
2022-07-18,33143
2022-07-15,35773
2022-07-14,15175
2022-07-13,1837
2022-07-12,45526
2022-07-11,32311
2022-07-08,
2022-07-07,
2022-07-06,12370
2022-07-05,10173
2022-07-01,
2022-06-30,
2022-06-29,63638
2022-06-28,
2022-06-27,
2022-06-24,4657
2022-06-23,67995
2022-06-22,59507
2022-06-21,23936
2022-06-20,
2022-06-17,9167
2022-06-16,7657
2022-06-15,
2022-06-14,28954
2022-06-13,44345
2022-06-10,69337
2022-06-09,7892
2022-06-08,20747
2022-06-07,112503
2022-06-06,5040
2022-06-03,4334
2022-06-02,17055
2022-06-01,4362
2022-05-31,9695
2022-05-27,38620
2022-05-26,5011
2022-05-25,5666
2022-05-24,27430
2022-05-23,4647
2022-05-20,
2022-05-19,
2022-05-18,23828
2022-05-17,2749
2022-05-16,28008
2022-05-13,
2022-05-12,40422
2022-05-11,4229
2022-05-10,
2022-05-09,90809
2022-05-06,2896
2022-05-05,85278
2022-05-04,60378
2022-05-03,26268
2022-05-02,16602
2022-04-29,
2022-04-28,10847
2022-04-27,1612
2022-04-26,11324
2022-04-25,53863
2022-04-22,104057
2022-04-21,87947
2022-04-20,11017
2022-04-19,14730
2022-04-18,121122
2022-04-15,15933
2022-04-14,80331
2022-04-13,1648
2022-04-12,17406
2022-04-11,9936
2022-04-08,59801
2022-04-07,84508
2022-04-06,20324
2022-04-05,
2022-04-04,13711
2022-04-01,
2022-03-31,2089
2022-03-30,2260
2022-03-29,23537
2022-03-28,17745
2022-03-25,
2022-03-24,16628
2022-03-23,8479
2022-03-22,13018
2022-03-21,8125
2022-03-18,3865
2022-03-17,13626
2022-03-16,
2022-03-15,9686
2022-03-14,1440
2022-03-11,2730
2022-03-10,
2022-03-09,22423
2022-03-08,1055
2022-03-07,
2022-03-04,1726
2022-03-03,147089
2022-03-02,24529
2022-03-01,10964
2022-02-28,5947
2022-02-25,21060
2022-02-24,59687
2022-02-23,
2022-02-22,
2022-02-21,6002
2022-02-18,25861
2022-02-17,3894
2022-02-16,8891
2022-02-15,11431
2022-02-14,6035
2022-02-11,
2022-02-10,25409
2022-02-09,11445
2022-02-08,15187
2022-02-07,33302
2022-02-04,16373
2022-02-03,
2022-02-02,
2022-02-01,
2022-01-31,7048
2022-01-28,
2022-01-27,60259
2022-01-26,66595
2022-01-25,3383
2022-01-24,
2022-01-21,
2022-01-20,35812
2022-01-19,8964
2022-01-18,30530
2022-01-17,
2022-01-14,
2022-01-13,
2022-01-12,2808
2022-01-11,
2022-01-10,
2022-01-07,
2022-01-06,
2022-01-05,1573
2022-01-04,50144
2022-01-03,
2021-12-30,22697
2021-12-29,17271
2021-12-28,17450
2021-12-27,2361
2021-12-23,10906
2021-12-22,12257
2021-12-21,37472
2021-12-20,12079
2021-12-17,
2021-12-16,4263
2021-12-15,16586
2021-12-14,35429
2021-12-13,2006
2021-12-10,
2021-12-09,
2021-12-08,9710
2021-12-07,79594
2021-12-06,65661
2021-12-03,6419
2021-12-02,7470
2021-12-01,26965
2021-11-30,130359
2021-11-29,53312
2021-11-26,13355
2021-11-24,207610
2021-11-23,9301
2021-11-22,106561
2021-11-19,5788
2021-11-18,66464
2021-11-17,11171
2021-11-16,212264
2021-11-15,
2021-11-12,
2021-11-11,
2021-11-10,
2021-11-09,105245
2021-11-08,6315
2021-11-05,44611
2021-11-04,8421
2021-11-03,86384
2021-11-02,8274
2021-11-01,
2021-10-29,
2021-10-28,8031
2021-10-27,
2021-10-26,43130
2021-10-25,6371
2021-10-22,
2021-10-21,
2021-10-20,60630
2021-10-19,109282
2021-10-18,5890
2021-10-15,92180
2021-10-14,34825
2021-10-13,118777
2021-10-12,8814
2021-10-11,33542
2021-10-08,
2021-10-07,41979
2021-10-06,62517
2021-10-05,44589
2021-10-04,84023
2021-10-01,
2021-09-30,
2021-09-29,
2021-09-28,8251
2021-09-27,16351
2021-09-24,
2021-09-23,195984
2021-09-22,14762
2021-09-21,
2021-09-20,42829
2021-09-17,262592
2021-09-16,125467
2021-09-15,
2021-09-14,69757
2021-09-13,3018
2021-09-10,
2021-09-09,6076
2021-09-08,81324
2021-09-07,1654
2021-09-03,8667
2021-09-02,4307
2021-09-01,
2021-08-31,20697
2021-08-30,8790
2021-08-27,
2021-08-26,
2021-08-25,16166
2021-08-24,2439
2021-08-23,
2021-08-20,8436
2021-08-19,
2021-08-18,3320
2021-08-17,6347
2021-08-16,
2021-08-13,26904
